id	term
ZP:0140268	sexual reproduction delayed, abnormal
ZP:0138672	reproduction decreased efficacy, abnormal
ZP:0023109	sexual reproduction process quality, abnormal
ZP:0022187	developmental process involved in reproduction onset quality, abnormal
ZP:0103689	developmental process involed in reproduction process quality, abnormal
ZP:0016015	male meiosis I arrested, abnormal
ZP:0141844	meiosis I disrupted, abnormal
ZP:0102913	meiosis I arrested, abnormal
ZP:00059963	male meiosis I disrupted, abnormal
ZP:0005962	homologous chromosome pairing at meiosis disrupted, abnormal
ZP:0016016	male meiosis I increased duration, abnormal
ZP:0138094	spermatocyte decreased occurrence meiosis II, abnormal
ZP:0013253	homologous chromosome pairing at meiosis process quality, abnormal
ZP:0142387	oocyte stage IV disrupted meiosis I nuclear membrane disassembly, abnormal
ZP:0103037	oocyte stage IV disrupted meiosis II nuclear membrane disassembly, abnormal
ZP:0005301	meiotic sister chromatid cohesion involved in meiosis II disrupted, abnormal
ZP:0108699	spermatocyte quality, abnormal
ZP:0015094	testes quality, abnormal
ZP:0103069	germ line cell testes absent, abnormal
ZP:0009392	spermatocyte absent, abnormal
ZP:0005976	spermatocyte decreased amount, abnormal
ZP:0104056	spermatocyte male organism functionality, abnormal
ZP:0106504	spermatocyte decreased occurrence regulation of meiotic cell phase transition, abnormal
ZP:0109846	sperm quality, abnormal
ZP:0103163	sperm amount, abnormal
ZP:0142394	sperm morphology, abnormal
ZP:0131248	sperm functional, abnormal
ZP:0016020	sperm sperm duct absent, abnormal
ZP:01404617	sperm flagellum sperm absent, abnormal
ZP:0106503	sperm head sperm vacuolated, abnormal
ZP:0005978	sperm absent, abnormal
ZP:0018382	sperm testis absent, abnormal
ZP:0106130	sperm-egg recognition disrupted, abnormal
ZP:0140357	sperm decreased rate fertilization, abnormal
ZP:0102433	fertilization disrupted, abnormal
ZP:0009025	fertilization having decreased processual parts fertilization, abnormal
ZP:0140357	sperm decreased rate fertilization, abnormal
ZP:0141016	female organism decreased rate fertilization, abnormal
ZP:0106128	fusion of sperm to egg plasma membrane involved in single fertilization disrupted, abnormal
ZP:0106136	fusion of sperm to egg plasma membrane involved in single fertilization occurrence, abnormal
ZP:0015094	testis quality, abnormal 
ZP:0107277	(20R)-17,20-dihydroxypregn-4-en-3-one testis increased amount, abnormal
ZP:0140570	11-Ketoandrosterone testis decreased amount, abnormal
ZP:0142736	11-oxotestosterone testis normal amount, abnormal
ZP:0138601	17beta-estradiol testis decreased amount, abnormal
ZP:0020901	chromosome, telomeric region testis decreased length, abnormal
ZP:0107072	condensed nuclear chromosome testis spatial pattern, abnormal
ZP:0147216	cystine testis increased amount, abnormal
ZP:0139743	epithelium testis composition, abnormal
ZP:0142735	estradiol testis normal amount, abnormal
ZP:0016315	germ cell tumor testis neoplastic, abnormal
ZP:0005560	germ cell tumor testis proliferative, abnormal
ZP:0103069	germ line cell testis absent, abnormal
ZP:0018382	sperm testis absent, abnormal
ZP:0018381	spermatid testis absent, abnormal
ZP:0145322	spermatocyte testis absent, abnormal
ZP:0103069	germ line cell absent, abnormal
ZP:0103068	germ line cell gonad absent, abnormal
ZP:0103069	germ line cell testis absent, abnormal
ZP:0018382	sperm testis absent, abnormal
ZP:0018381	spermatid testis absent, abnormal
ZP:0145322	spermatocyte testis absent, abnormal
ZP:0148249	sperm gonad absent, abnormal
ZP:0102906	germ line cell seminiferous tubule absent, abnormal
ZP:0001999	oocyte absent, abnormal
ZP:0015853	oocyte stage I absent, abnormal
ZP:0148155	oocyte stage III absent, abnormal
ZP:0009391	oocyte stage IV absent, abnormal
ZP:0103071	oogonia absent, abnormal
ZP:0100712	primordial germ cell absent, abnormal
ZP:0005978	sperm absent, abnormal
ZP:0148249	sperm gonad absent, abnormal
ZP:0145323	sperm seminiferous tubule absent, abnormal
ZP:0016020	sperm sperm duct absent, abnormal
ZP:0109266	gamete quality, abnormal
ZP:0005257	germ line cell absent, abnormal
ZP:0005258	germ line cell apoptotic, abnormal
ZP:0005259	germ line cell decreased amount, abnormal
ZP:0019442	germ line cell decreased size, abnormal
ZP:0142881	germ line cell male organism increased amount, abnormal
ZP:0019115	germ line cell mislocalised, abnormal
ZP:0107022	germ line cell neoplastic, abnormal
ZP:0145376	germ line cell normal amount, abnormal
ZP:0144948	germ line cell spatial pattern, abnormal
ZP:0018407	germ line cell testis increased size, abnormal
ZP:0130943	nucleus germ line cell physical object quality, abnormal
ZP:0107483	oocyte quality, abnormal
ZP:0109917	oogonia quality, abnormal
ZP:0001575	primordial germ cell quality, abnormal
ZP:0109846	sperm quality, abnormal
ZP:0110189	spermatid quality, abnormal
ZP:0108699	spermatocyte quality, abnormal
ZP:0108421	spermatogonium quality, abnormal
ZP:0009057	germ line cell testis apoptotic, abnormal
ZP:0019098	germ line cell testis decreased amount, abnormal
ZP:0009056	sperm testis decreased amount, abnormal
ZP:0143996	spermatocyte testis decreased amount, abnormal
ZP:0018407	germ line cell testis increased size, abnormal
ZP:0107069	germ line cell testis spatial pattern, abnormal
ZP:0148683	Leydig cell testis absent, abnormal
ZP:0142388	Leydig cell testis decreased distribution, abnormal
ZP:0103704	Leydig cell testis increased amount, abnormal
ZP:0102907	lymphocyte testis increased amount, abnormal
ZP:0148183	T cell testis increased amount, abnormal
ZP:0148184	macrophage testis increased amount, abnormal
ZP:0142583	neoplasm testis present, abnormal
ZP:0141665	carcinoma testis present, abnormal
ZP:0009390	germ cell tumor testis present, abnormal
ZP:0018406	oocyte testis present, abnormal
ZP:0146413	ovarian follicle testis present, abnormal
ZP:0142389	Sertoli cell testis absent, abnormal
ZP:0103701	somatic cell testis disorganized, abnormal
ZP:0147005	sperm testis morphology, abnormal
ZP:0146415	sperm testis absence of anatomical entity, abnormal
ZP:0147799	sperm testis normal amount, abnormal
ZP:0147799	spermatid testis normal amount, abnormal
ZP:0005559	germ cell tumor testis increased amount, abnormal
ZP:0003995	seminoma testis present, abnormal
ZP:0146414	spermatocyte testis absence of anatomical entity, abnormal
ZP:0016019	spermatocyte testis present, abnormal
ZP:0143996	spermatocyte testis decreased amount, abnormal
ZP:0147798	spermatocyte testis normal amount, abnormal
ZP:0147838	spermatogenic cyst testis normal amount, abnormal
ZP:0016021	spermatogonium testis amount, abnormal
ZP:0016022	spermatogonium testis present, abnormal
ZP:0015012	testis absent, abnormal
ZP:0141279	testis decreased concentration sperm testis, abnormal
ZP:0012914	testis physical object quality, abnormal
ZP:0140573	testis altered number of sperm, abnormal
ZP:0103045	testis lacks parts or has fewer parts of type sperm, abnormal
ZP:0140574	testis altered number of spermatogonium, abnormal
ZP:0103047	testis has extra parts of type spermatogonium, abnormal
